Source,Date,Text,Positive,Neutral,Negative,Compound,Tweets Ago
CBSNews,Tue Aug 28 22:15:30 +0000 2018,"RT @DavidBegnaud: Moment ago, on CBSN, San Juan Puerto Rico Mayor @CarmenYulinCruz blasted the Governor for not firing people involved in i…",0.088,0.912,0.0,0.2584,13
CBSNews,Tue Aug 28 22:04:45 +0000 2018,"Facing a standstill in diplomatic efforts with the North Korea, Secretary of Defense Jim Mattis says there are no f… https://t.co/w7MDYNfBcB",0.069,0.829,0.101,-0.1779,14
CBSNews,Tue Aug 28 21:49:46 +0000 2018,"Opening statements in Paul Manafort's second trial to begin September 24, judge says. Manafort faces seven counts t… https://t.co/5ZvLIfaggo",0.0,1.0,0.0,0.0,15
CBSNews,Tue Aug 28 21:35:08 +0000 2018,PSL PSA: The Pumpkin Spice Latte is back -- earlier than ever. https://t.co/bF482EiDzG,0.0,1.0,0.0,0.0,16
CBSNews,Tue Aug 28 21:19:35 +0000 2018,"Mourners paid their final respects to Aretha Franklin at the Wright Museum in Detroit, as part of a two-day public… https://t.co/HDh0ma7uyJ",0.1,0.779,0.121,-0.128,17
CBSNews,Tue Aug 28 21:04:30 +0000 2018,"Eddie Murphy is expecting his 10th child, his second with girlfriend Paige Butcher https://t.co/XFYacUOmjr https://t.co/x7HVLE7Spw",0.0,1.0,0.0,0.0,18
CBSNews,Tue Aug 28 20:50:12 +0000 2018,"STDS ON THE RISE: Cases of gonorrhea, syphilis and chlamydia all increased in 2017, making it the fourth straight y… https://t.co/ES03RMIDd6",0.174,0.826,0.0,0.4588,19
CBSNews,Tue Aug 28 20:22:23 +0000 2018,"A white former police officer who fatally shot unarmed black man in 2016 to teach class on ""surviving the aftermath… https://t.co/90lPSxHFbH",0.09,0.738,0.172,-0.4588,20
CBSNews,Tue Aug 28 20:04:50 +0000 2018,"Longtime Oklahoma City mayor Mick Cornett, Gateway Mortgage Company founder Kevin Stitt face off in governor GOP ru… https://t.co/wsQ3vXGORP",0.0,1.0,0.0,0.0,21
CBSNews,Tue Aug 28 19:49:46 +0000 2018,A white former Texas police officer found guilty of murder for fatally shooting an unarmed black teenager as he lef… https://t.co/1zou8qp8XE,0.0,0.592,0.408,-0.9136,22
CBSNews,Tue Aug 28 19:30:28 +0000 2018,FOUL ON THE PLAY: President Trump met with the president of FIFA today and was gifted a stack of red cards for when… https://t.co/cCh2aKltQ9,0.125,0.875,0.0,0.4824,23
CBSNews,Tue Aug 28 19:30:03 +0000 2018,FINAL R-E-S-P-E-C-T: Hundreds of Aretha Franklin fans lined up in Detroit to honor her memory as she lies in a gold… https://t.co/laW7Z3GvUj,0.128,0.76,0.112,0.1027,24
CBSNews,Tue Aug 28 19:19:48 +0000 2018,"At White House meeting with FIFA boss, President Trump credits New England Patriots owner Bob Kraft for suggesting… https://t.co/v66fpHfmck",0.122,0.878,0.0,0.3612,25
CBSNews,Tue Aug 28 19:17:01 +0000 2018,WATCH LIVE: President Trump meets with new FIFA president Gianni Infantino after North America was selected for the… https://t.co/rCzlqleVbz,0.0,1.0,0.0,0.0,26
CBSNews,Tue Aug 28 19:14:38 +0000 2018,WATCH NOW: President Trump meets with new FIFA president Gianni Infantino at White House to talk about 2026 World C… https://t.co/svblvBk9cD,0.0,1.0,0.0,0.0,27
CBSNews,Tue Aug 28 19:09:31 +0000 2018,"A federal court said this man couldn't post blueprints online for untraceable 3D-printed guns. Today, he started do… https://t.co/j3SQRuNul4",0.0,1.0,0.0,0.0,28
CBSNews,Tue Aug 28 18:50:15 +0000 2018,"Last year, President Trump implied that Hurricane Maria was not ""a real catastrophe, like Katrina."" Today, new esti… https://t.co/BqwZ7zez2N",0.261,0.739,0.0,0.7198,29
CBSNews,Tue Aug 28 18:33:27 +0000 2018,"""John taught us how to lose... When you go throughout the world, people remember his concession speech as much as a… https://t.co/HIiUoh296c",0.0,1.0,0.0,0.0,30
CBSNews,Tue Aug 28 18:29:40 +0000 2018,How do you get better at asking for help? Glad you asked. Here's some tips: https://t.co/o8TRWXTBxk https://t.co/9CmATcLwAq,0.381,0.619,0.0,0.8225,31
CBSNews,Tue Aug 28 18:20:58 +0000 2018,"WATCH NOW: Sen. John McCain's longtime friend, Sen. Lindsey Graham is paying tribute to McCain on the Senate floor… https://t.co/zIFtRJuu2i",0.144,0.856,0.0,0.4939,32
CBSNews,Tue Aug 28 18:11:28 +0000 2018,"""The incumbent president is very careless with the truth."" Former President Jimmy Carter talks with @CBSThisMorning… https://t.co/MdcF8XJA1l",0.0,0.851,0.149,-0.4201,33
CBSNews,Tue Aug 28 17:49:35 +0000 2018,"""A major public health problem for humanity."" There are now about 250,000 gun deaths a year worldwide, and the U.S.… https://t.co/igyXvA35tI",0.0,0.779,0.221,-0.6249,34
CBSNews,Tue Aug 28 17:09:55 +0000 2018,"Even with low unemployment and strong economic growth, nearly half of Americans struggle to pay for housing, utilit… https://t.co/NpW3wtgPue",0.214,0.471,0.315,-0.2023,35
CBSNews,Tue Aug 28 16:50:52 +0000 2018,"The Hurricane Maria death toll in Puerto Rico is 4,548% higher than what the government initially reported.… https://t.co/JZx1EVxxDf",0.0,0.813,0.187,-0.5994,36
CBSNews,Tue Aug 28 16:29:41 +0000 2018,A young girl awaiting a life-saving surgery who was surprised by Drake got another surprise this weekend: a new hea… https://t.co/NqcmGFVfx3,0.2,0.8,0.0,0.4588,37
CBSNews,Tue Aug 28 16:10:01 +0000 2018,Louis C.K. received an ovation from the audience in his first performance since his sexual misconduct scandal… https://t.co/2umWLVBJe6,0.0,1.0,0.0,0.0,38
CBSNews,Tue Aug 28 15:55:23 +0000 2018,MAY-BE DON'T: Theresa May shows off her dance moves during a visit with schoolchildren in South Africa — and it'll… https://t.co/2F5EiOjtnV,0.0,1.0,0.0,0.0,39
CBSNews,Tue Aug 28 15:49:32 +0000 2018,"“We definitely understand that there were a lot of -- we've committed errors in the process,” Carlos Mercader says.… https://t.co/laNq25whI0",0.207,0.69,0.103,0.34,40
CBSNews,Tue Aug 28 15:46:48 +0000 2018,"The GWU study ""goes deep into some statistics that we will be finalizing and obviously using them to create a new s… https://t.co/e7xRWNtPyy",0.091,0.909,0.0,0.2732,41
